Month,Borough,Equipment Type,Common Name,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
1/1/23,Manhattan,Elevator,EL234,5,2,3,0,166.0,1.0,124.0,124.0,0.968010753,120.0333333,124.0,0.981815733,728.9,742.4,47-50STS-ROCKEFELLERCTR-6AV-B/D/F/M,225,47-50 Sts-Rockefeller Ctr - Station,225
1/1/23,Manhattan,Elevator,EL716,6,4,2,0,98.0,0.952553763,118.1166667,124.0,0.987365591,122.4333333,124.0,0.959565412,713.9166667,744.0,FULTONST-LEX-4/5,412,"Fulton St (A,C,J,Z,2,3,4,5)",628
1/1/23,Brooklyn,Elevator,EL702,0,0,0,0,207.0,1.0,124.0,124.0,1.0,124.0,124.0,1.0,744.0,744.0,CONEYISLAND-STILLWELLAV-SEA-D/F/N/Q,58,Coney Island-Stillwell Av - Station,58
1/1/23,Brooklyn,Elevator,EL359,2,2,0,0,29.0,1.0,124.0,124.0,0.983602151,121.9666667,124.0,0.990882616,737.2166667,744.0,BEDFORDAV-CNR-L,120,Bedford Av - Station,120
1/1/23,Queens,Elevator,EL497,5,4,1,0,130.0,0.902553763,111.9166667,124.0,0.88938172,110.2833333,124.0,0.907638889,675.2833333,744.0,FARROCKAWAY-MOTTAV-RKY-A,209,Far Rockaway-Mott Av - Station,209
1/1/23,Manhattan,Elevator,EL214,2,1,1,0,3.0,0.98655914,122.3333333,124.0,1.0,124.0,124.0,0.991241039,737.4833333,744.0,34ST-PENNSTATION-7AV-1/2/3,318,34 St-Penn Station - Station,318
1/1/23,Queens,Elevator,EL436,2,1,1,0,174.0,1.0,124.0,124.0,1.0,124.0,124.0,0.991621864,737.7666667,744.0,KEWGARDENS-UNIONTPKE-QBL-E/F,259,Kew Gardens-Union Tpke - Station,259
1/1/23,Manhattan,Elevator,EL231X,0,0,0,0,,0.903225806,112.0,124.0,0.919354839,114.0,124.0,0.919287634,683.95,744.0,TIMESSQ-42ST-7AV-1/2/3,317,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
1/1/23,Manhattan,Elevator,EL266,2,2,0,0,72.0,1.0,124.0,124.0,1.0,124.0,124.0,0.988933692,735.7666667,744.0,72ST-2AV-Q,477,72 St - Station,477
1/1/23,Brooklyn,Elevator,EL303,5,4,1,0,225.0,0.915053763,113.4666667,124.0,0.940591398,116.6333333,124.0,0.927643369,690.1666667,744.0,ATLANTICAV-BARCLAYSCTR-4AV-D/N/R,27,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",617
